Kategoria,Język 1,Język 2,Średnia odległość Levenshteina
technology,Wloski,Hiszpanski,4.89
technology,Wloski,Niemiecki,6.16
technology,Wloski,Polski,7.53
technology,Wloski,Czeski,7.63
technology,Hiszpanski,Niemiecki,7.26
technology,Hiszpanski,Polski,8.63
technology,Hiszpanski,Czeski,8.32
technology,Niemiecki,Polski,6.79
technology,Niemiecki,Czeski,5.74
technology,Polski,Czeski,7.74
colors,Angielski,Francuski,3.00
colors,Angielski,Wloski,3.92
colors,Angielski,Hiszpanski,4.24
colors,Angielski,Niemiecki,3.08
colors,Angielski,Polski,5.88
colors,Angielski,Czeski,5.08
colors,Francuski,Wloski,2.80
colors,Francuski,Hiszpanski,3.52
colors,Francuski,Niemiecki,3.36
colors,Francuski,Polski,5.64
colors,Francuski,Czeski,5.36
colors,Wloski,Hiszpanski,2.80
colors,Wloski,Niemiecki,4.24
colors,Wloski,Polski,5.88
colors,Wloski,Czeski,5.48
colors,Hiszpanski,Niemiecki,4.60
colors,Hiszpanski,Polski,5.92
colors,Hiszpanski,Czeski,5.92
colors,Niemiecki,Polski,5.68
colors,Niemiecki,Czeski,5.48
colors,Polski,Czeski,5.48
animals,Angielski,Francuski,3.84
animals,Angielski,Wloski,4.52
animals,Angielski,Hiszpanski,4.28
animals,Angielski,Niemiecki,4.64
animals,Angielski,Polski,4.88
animals,Angielski,Czeski,4.77
animals,Francuski,Wloski,4.14
animals,Francuski,Hiszpanski,4.10
animals,Francuski,Niemiecki,5.16
animals,Francuski,Polski,5.27
animals,Francuski,Czeski,5.14
animals,Wloski,Hiszpanski,3.40
animals,Wloski,Niemiecki,5.36
animals,Wloski,Polski,5.18
animals,Wloski,Czeski,5.31
animals,Hiszpanski,Niemiecki,5.39
animals,Hiszpanski,Polski,5.22
animals,Hiszpanski,Czeski,5.06
animals,Niemiecki,Polski,5.48
animals,Niemiecki,Czeski,5.23
animals,Polski,Czeski,3.56
vegetables,Angielski,Francuski,4.84
vegetables,Angielski,Wloski,5.35
vegetables,Angielski,Hiszpanski,5.40
vegetables,Angielski,Niemiecki,5.14
vegetables,Angielski,Polski,6.65
vegetables,Angielski,Czeski,5.58
vegetables,Francuski,Wloski,5.60
vegetables,Francuski,Hiszpanski,5.63
vegetables,Francuski,Niemiecki,6.12
vegetables,Francuski,Polski,7.07
vegetables,Francuski,Czeski,6.42
vegetables,Wloski,Hiszpanski,4.98
vegetables,Wloski,Niemiecki,6.30
vegetables,Wloski,Polski,6.09
vegetables,Wloski,Czeski,6.19
vegetables,Hiszpanski,Niemiecki,6.35
vegetables,Hiszpanski,Polski,6.86
vegetables,Hiszpanski,Czeski,6.42
vegetables,Niemiecki,Polski,7.09
vegetables,Niemiecki,Czeski,5.65
vegetables,Polski,Czeski,5.79
fruits,Angielski,Francuski,3.77
fruits,Angielski,Wloski,4.41
fruits,Angielski,Hiszpanski,4.43
fruits,Angielski,Niemiecki,4.26
fruits,Angielski,Polski,5.08
fruits,Angielski,Czeski,4.15
fruits,Francuski,Wloski,3.90
fruits,Francuski,Hiszpanski,4.31
fruits,Francuski,Niemiecki,5.07
fruits,Francuski,Polski,5.00
fruits,Francuski,Czeski,4.56
fruits,Wloski,Hiszpanski,3.90
fruits,Wloski,Niemiecki,5.70
fruits,Wloski,Polski,5.02
fruits,Wloski,Czeski,4.98
fruits,Hiszpanski,Niemiecki,5.93
fruits,Hiszpanski,Polski,5.30
fruits,Hiszpanski,Czeski,5.21
fruits,Niemiecki,Polski,6.16
fruits,Niemiecki,Czeski,5.46
fruits,Polski,Czeski,4.33
